domain_index,orientation,z_start_um,z_end_um,length_um
346.0,1.0,2680.9809999999998,2681.4809999999998,0.5
347.0,-1.0,2681.4809999999998,2696.4779999999996,14.996999999999844
348.0,1.0,2696.478,2696.978,0.5
349.0,-1.0,2696.978,2711.975,14.996999999999844
350.0,1.0,2711.975,2712.475,0.5
351.0,-1.0,2712.475,2727.4719999999998,14.996999999999844
352.0,1.0,2727.4719999999998,2727.9719999999998,0.5
353.0,-1.0,2727.9719999999998,2742.9689999999996,14.996999999999844
354.0,1.0,2742.969,2743.469,0.5
355.0,-1.0,2743.469,2758.466,14.996999999999844
356.0,1.0,2758.466,2758.966,0.5
357.0,-1.0,2758.966,2773.9629999999997,14.996999999999844
358.0,1.0,2773.963,2774.463,0.5
359.0,-1.0,2774.463,2789.46,14.996999999999844
360.0,1.0,2789.46,2789.96,0.5
361.0,-1.0,2789.96,2804.957,14.996999999999844
362.0,1.0,2804.957,2805.457,0.5
363.0,-1.0,2805.457,2820.4539999999997,14.996999999999844
364.0,1.0,2820.454,2820.954,0.5
365.0,-1.0,2820.954,2835.951,14.996999999999844
366.0,1.0,2835.951,2836.451,0.5
367.0,-1.0,2836.451,2851.448,14.996999999999844
368.0,1.0,2851.448,2851.948,0.5
369.0,-1.0,2851.948,2866.9449999999997,14.996999999999844
370.0,1.0,2866.945,2867.445,0.5
371.0,-1.0,2867.445,2882.442,14.996999999999844
372.0,1.0,2882.442,2882.942,0.5
373.0,-1.0,2882.942,2897.939,14.996999999999844
374.0,1.0,2897.939,2898.439,0.5
375.0,-1.0,2898.439,2913.4359999999997,14.996999999999844
376.0,1.0,2913.436,2913.936,0.5
377.0,-1.0,2913.936,2928.933,14.996999999999844
378.0,1.0,2928.933,2929.433,0.5
379.0,-1.0,2929.433,2944.43,14.996999999999844
380.0,1.0,2944.43,2944.93,0.5
381.0,-1.0,2944.93,2959.9269999999997,14.996999999999844
382.0,1.0,2959.927,2960.427,0.5
383.0,-1.0,2960.427,2975.424,14.996999999999844
384.0,1.0,2975.424,2975.924,0.5
385.0,-1.0,2975.924,2990.921,14.996999999999844
386.0,1.0,2990.921,2991.421,0.5
387.0,-1.0,2991.421,3006.4179999999997,14.996999999999844
388.0,1.0,3006.418,3006.918,0.5
389.0,-1.0,3006.918,3021.915,14.996999999999844
390.0,1.0,3021.915,3022.415,0.5
391.0,-1.0,3022.415,3037.412,14.996999999999844
392.0,1.0,3037.412,3037.912,0.5
