signal_nm,fixed_idler_display_nm,pump_from_energy_nm,pmf2_norm,pump_amp_norm,f2_norm
1270.7699999999993,1569.2018340265377,702.1529547349973,3.6111892826182e-05,4.60952960787823e-10,7.673213134479894e-24
1270.7799999999993,1569.2018340265377,702.1560077435373,3.574158806033039e-05,4.661025894876098e-10,7.765164625297116e-24
1270.7899999999993,1569.2018340265377,702.1590607305773,3.5373225370887956e-05,4.713083581067804e-10,7.857759549502362e-24
1270.7999999999993,1569.2018340265377,702.1621136961173,3.5006829737797076e-05,4.765708628038294e-10,7.950996201583428e-24
1270.8099999999993,1569.2018340265377,702.1651666401576,3.464242611578315e-05,4.818907058906195e-10,8.044872968701245e-24
1270.8199999999993,1569.2018340265377,702.1682195626986,3.428003942620978e-05,4.872684958947511e-10,8.139388347161111e-24
1270.8299999999992,1569.2018340265377,702.1712724637405,3.391969456479524e-05,4.927048476207674e-10,8.234540963517813e-24
1270.8399999999992,1569.2018340265377,702.174325343283,3.3561416389875324e-05,4.982003822124877e-10,8.330329592257229e-24
1270.8499999999992,1569.2018340265377,702.177378201327,3.320522973723063e-05,5.037557272188666e-10,8.426753181122726e-24
1270.8599999999992,1569.2018340265377,702.1804310378726,3.285115940588519e-05,5.093715166557591e-10,8.523810870485123e-24
1270.8699999999992,1569.2018340265377,702.1834838529197,3.249923016094837e-05,5.15048391070076e-10,8.621502018103735e-24
1270.8799999999992,1569.2018340265377,702.1865366464688,3.214946673534915e-05,5.207869976073463e-10,8.719826225115066e-24
1270.8899999999992,1569.2018340265377,702.1895894185199,3.180189382479891e-05,5.265879900757016e-10,8.818783361460499e-24
1270.8999999999992,1569.2018340265377,702.1926421690736,3.1456536092265054e-05,5.324520290138744e-10,8.918373595391151e-24
1270.9099999999992,1569.2018340265377,702.1956948981298,3.11134181603911e-05,5.383797817561938e-10,9.018597421031931e-24
1270.9199999999992,1569.2018340265377,702.1987476056887,3.07725646159226e-05,5.443719225023187e-10,9.119455690920732e-24
1270.9299999999992,1569.2018340265377,702.2018002917508,3.043400000827175e-05,5.504291323854978e-10,9.220949648499587e-24
1270.9399999999991,1569.2018340265377,702.2048529563161,3.0097748844418173e-05,5.565520995403335e-10,9.323080961071775e-24
1270.9499999999991,1569.2018340265377,702.2079055993851,2.9763835593276574e-05,5.627415191743709e-10,9.425851757413546e-24
1270.9599999999991,1569.2018340265377,702.2109582209577,2.9432284678913054e-05,5.689980936367036e-10,9.529264663659836e-24
1270.9699999999991,1569.2018340265377,702.2140108210342,2.9103120487330005e-05,5.753225324907157e-10,9.633322845406022e-24
1270.979999999999,1569.2018340265377,702.2170633996151,2.877636735946648e-05,5.817155525852206e-10,9.738030047331846e-24
1270.989999999999,1569.2018340265377,702.2201159567003,2.845204959296859e-05,5.881778781262294e-10,9.843390637595587e-24
1270.999999999999,1569.2018340265377,702.22316849229,2.8130191437831597e-05,5.947102407513248e-10,9.949409652325165e-24
1271.009999999999,1569.2018340265377,702.2262210063848,2.7810817101196264e-05,6.01313379603608e-10,1.0056092845380015e-23
1271.019999999999,1569.2018340265377,702.2292734989845,2.749395074387794e-05,6.079880414048273e-10,1.016344673751675e-23
1271.029999999999,1569.2018340265377,702.2323259700897,2.717961647524421e-05,6.147349805326634e-10,1.0271478667252987e-23
1271.039999999999,1569.2018340265377,702.2353784197004,2.686783836122633e-05,6.2155495909482e-10,1.0380196848875567e-23
1271.049999999999,1569.2018340265377,702.2384308478169,2.655864041183851e-05,6.284487470075395e-10,1.04896104254326e-23
1271.059999999999,1569.2018340265377,702.2414832544393,2.6252046593212753e-05,6.354171220721089e-10,1.0599729533531248e-23
1271.069999999999,1569.2018340265377,702.2445356395681,2.5948080816001328e-05,6.424608700534075e-10,1.0710565361796478e-23
1271.079999999999,1569.2018340265377,702.2475880032033,2.564676694150063e-05,6.495807847588846e-10,1.0822130219016871e-23
1271.089999999999,1569.2018340265377,702.2506403453451,2.5348128775195092e-05,6.567776681180707e-10,1.0934437600133365e-23
1271.099999999999,1569.2018340265377,702.253692665994,2.5052190072197958e-05,6.640523302642003e-10,1.1047502260206379e-23
1271.109999999999,1569.2018340265377,702.25674496515,2.4758974529599443e-05,6.714055896138907e-10,1.1161340285862967e-23
1271.119999999999,1569.2018340265377,702.2597972428132,2.4468505788376812e-05,6.788382729497403e-10,1.1275969174046698e-23
1271.129999999999,1569.2018340265377,702.262849498984,2.4180807437080483e-05,6.863512155046081e-10,1.1391407915132343e-23
1271.139999999999,1569.2018340265377,702.2659017336629,2.3895903004647074e-05,6.939452610441751e-10,1.1507677074463171e-23
1271.149999999999,1569.2018340265377,702.2689539468497,2.361381595965289e-05,7.016212619499852e-10,1.1624798880237384e-23
1271.159999999999,1569.2018340265377,702.2720061385447,2.333456971238319e-05,7.093800793069534e-10,1.1742797316641638e-23
1271.169999999999,1569.2018340265377,702.2750583087482,2.3058187616450928e-05,7.172225829886309e-10,1.1861698220680727e-23
1271.179999999999,1569.2018340265377,702.2781104574606,2.2784692960479946e-05,7.251496517449757e-10,1.198152937798695e-23
1271.189999999999,1569.2018340265377,702.2811625846819,2.251410897393454e-05,7.331621732874631e-10,1.210232062972343e-23
1271.199999999999,1569.2018340265377,702.2842146904122,2.2246458819096872e-05,7.412610443802803e-10,1.2224103976772589e-23
1271.209999999999,1569.2018340265377,702.287266774652,2.1981765601261727e-05,7.494471709291962e-10,1.2346913697945568e-23
1271.219999999999,1569.2018340265377,702.2903188374016,2.172005235689678e-05,7.577214680715102e-10,1.2470786460917894e-23
1271.2299999999989,1569.2018340265377,702.2933708786611,2.146134205926372e-05,7.660848602665968e-10,1.2595761447309864e-23
1271.2399999999989,1569.2018340265377,702.2964228984305,2.1205657611036932e-05,7.745382813881619e-10,1.2721880475363869e-23
1271.2499999999989,1569.2018340265377,702.2994748967102,2.095302185407159e-05,7.830826748187246e-10,1.2849188137719586e-23
1271.2599999999989,1569.2018340265377,702.3025268735006,2.070345755857574e-05,7.917189935418294e-10,1.2977731932245014e-23
1271.2699999999988,1569.2018340265377,702.3055788288018,2.0456987427632415e-05,8.004482002363327e-10,1.3107562407337823e-23
1271.2799999999988,1569.2018340265377,702.3086307626138,2.0213634091487445e-05,8.092712673723015e-10,1.323873330657266e-23
1271.2899999999988,1569.2018340265377,702.3116826749372,1.997342011415227e-05,8.181891773094354e-10,1.3371301727003188e-23
1271.2999999999988,1569.2018340265377,702.3147345657719,1.9736367985995762e-05,8.272029223911672e-10,1.3505328274321605e-23
1271.3099999999988,1569.2018340265377,702.3177864351185,1.9502500125127686e-05,8.363135050459671e-10,1.3640877229966358e-23
1271.3199999999988,1569.2018340265377,702.3208382829769,1.9271838878065973e-05,8.455219378838758e-10,1.377801672410387e-23
1271.3299999999988,1569.2018340265377,702.3238901093473,1.904440651442432e-05,8.548292437987603e-10,1.3916818911130088e-23
1271.3399999999988,1569.2018340265377,702.3269419142304,1.8820225233274017e-05,8.642364560697817e-10,1.4057360160218439e-23
