signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.271349999999999909e+03,7.364610231064741401e-05,3.328745043475247409e-39,2.451592505452387150e-43
1.271368750000000091e+03,7.281487709594013221e-05,3.626066055540031655e-39,2.640424886738484331e-43
1.271387500000000045e+03,7.198275665516008044e-05,3.949770365289053858e-39,2.843271335717458571e-43
1.271406250000000000e+03,7.114989954570769004e-05,4.302183611325544311e-39,3.061126084740279254e-43
1.271424999999999955e+03,7.031646494444424164e-05,4.685835049414997083e-39,3.295050014118172890e-43
1.271443749999999909e+03,6.948261262935894150e-05,5.103475257339653097e-39,3.546174797485662772e-43
1.271462500000000091e+03,6.864850295077653695e-05,5.558095368492429770e-39,3.815707278688565718e-43
1.271481250000000045e+03,6.781429681875483491e-05,6.052947965207216066e-39,4.104934092480859074e-43
1.271500000000000000e+03,6.698015568279319415e-05,6.591569774026293854e-39,4.415226539449235457e-43
1.271518749999999955e+03,6.614624151376514993e-05,7.177806317256130796e-39,4.748045727539922061e-43
1.271537499999999909e+03,6.531271678106490941e-05,7.815838688195064086e-39,5.104947992019698373e-43
1.271556250000000091e+03,6.447974442797048357e-05,8.510212631709158318e-39,5.487590606689947056e-43
1.271575000000000045e+03,6.364748786594037722e-05,9.265870127070698225e-39,5.897737801257779557e-43
1.271593750000000000e+03,6.281611093542254008e-05,1.008818368722063240e-38,6.337267094528194821e-43
1.271612499999999955e+03,6.198577790184727745e-05,1.098299360580439941e-38,6.808175962887751304e-43
1.271631249999999909e+03,6.115665342664050889e-05,1.195664840416075297e-38,7.312588854084384623e-43
1.271650000000000091e+03,6.032890254905247878e-05,1.301604875072266795e-38,7.852764564366449128e-43
1.271668750000000045e+03,5.950269066651951429e-05,1.416869514884038144e-38,8.431103993830075190e-43
1.271687500000000000e+03,5.867818351414531630e-05,1.542273971453425666e-38,9.050158296744205609e-43
1.271706249999999955e+03,5.785554713950621513e-05,1.678704239163716393e-38,9.712637442875484945e-43
1.271724999999999909e+03,5.703494789110832727e-05,1.827123198246068618e-38,1.042141921090404594e-42
1.271743750000000091e+03,5.621655239040759740e-05,1.988577240343596121e-38,1.117955862804341656e-42
1.271762500000000045e+03,5.540052751212840503e-05,2.164203460938028659e-38,1.199029787882566833e-42
1.271781250000000000e+03,5.458704036199429590e-05,2.355237466852503152e-38,1.285707670233493926e-42
1.271799999999999955e+03,5.377625826366581906e-05,2.563021850999211349e-38,1.378354330202526643e-42
1.271818749999999909e+03,5.296834873126295433e-05,2.789015391011226204e-38,1.477356578604438475e-42
1.271837500000000091e+03,5.216347944527712150e-05,3.034803033090890866e-38,1.583124416541876271e-42
1.271856250000000045e+03,5.136181824238961397e-05,3.302106727716991186e-38,1.696092294043661176e-42
1.271875000000000000e+03,5.056353308019779255e-05,3.592797189239824178e-38,1.816720429108442538e-42
1.271893749999999955e+03,4.976879202878786658e-05,3.908906657677433291e-38,1.945496191729117809e-42
1.271912499999999909e+03,4.897776324803219510e-05,4.252642747416600264e-38,2.082935554908007380e-42
1.271931250000000091e+03,4.819061495667725315e-05,4.626403474740709508e-38,2.229584616162810769e-42
1.271950000000000045e+03,4.740751541973104685e-05,5.032793563851088093e-38,2.386021194468158083e-42
1.271968750000000000e+03,4.662863292432775669e-05,5.474642139241905244e-38,2.552856505635097453e-42
1.271987499999999955e+03,4.585413575942938566e-05,5.955021921560244193e-38,2.730736921387275646e-42
1.272006249999999909e+03,4.508419219818238157e-05,6.477270053685950191e-38,2.920345817232684767e-42
1.272025000000000091e+03,4.431897046986734806e-05,7.045010694530571836e-38,3.122405514015111920e-42
1.272043750000000045e+03,4.355863873763723667e-05,7.662179529369573575e-38,3.337679320229126669e-42
1.272062500000000000e+03,4.280336508709270193e-05,8.333050358349852645e-38,3.566973682890055611e-42
1.272081249999999955e+03,4.205331749685324268e-05,9.062263937703762991e-38,3.811140452646576916e-42
1.272099999999999909e+03,4.130866381793726238e-05,9.854859263521748822e-38,4.071079273977554540e-42
1.272118750000000091e+03,4.056957175637194735e-05,1.071630750316888957e-37,4.347740110257619161e-42
1.272137500000000045e+03,3.983620884938989274e-05,1.165254879664054920e-37,4.642125914104750001e-42
1.272156250000000000e+03,3.910874243756184049e-05,1.267003216933891678e-37,4.955295456002899811e-42
1.272174999999999955e+03,3.838733965728002086e-05,1.377575881678600691e-37,5.288366328600894417e-42
