signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.271575000000000045e+03,1.109155263719332547e-04,1.177496260427458802e-40,1.306075304994549495e-44
1.271593750000000000e+03,1.103128062898004662e-04,1.284421899499980119e-40,1.416935141808614481e-44
1.271612499999999955e+03,1.097024039364414389e-04,1.400996024220544813e-40,1.536984133293232590e-44
1.271631249999999909e+03,1.090844250420863672e-04,1.528083694326599381e-40,1.666964017150779542e-44
1.271650000000000091e+03,1.084589767817582985e-04,1.666627023632822231e-40,1.807674614646413246e-44
1.271668750000000045e+03,1.078261677515850913e-04,1.817651998040793490e-40,1.959978219692879647e-44
1.271687500000000000e+03,1.071861079639615827e-04,1.982275892812148504e-40,2.124804305907497170e-44
1.271706249999999955e+03,1.065389088280278786e-04,2.161715341314301490e-40,2.303154572777280119e-44
1.271724999999999909e+03,1.058846831419346679e-04,2.357295112141707311e-40,2.496108354593489361e-44
1.271743750000000091e+03,1.052235450803097919e-04,2.570457656367068027e-40,2.704828416477843836e-44
1.271762500000000045e+03,1.045556101736883813e-04,2.802773491972154637e-40,2.930567163436393197e-44
1.271781250000000000e+03,1.038809953037676142e-04,3.055952498450309784e-40,3.174673290890447852e-44
1.271799999999999955e+03,1.031998186852917316e-04,3.331856200738354816e-40,3.438598905413883351e-44
1.271818749999999909e+03,1.025121998525979823e-04,3.632511128580230459e-40,3.723907147438131013e-44
1.271837500000000091e+03,1.018182596451166388e-04,3.960123344751100919e-40,4.032280348927139223e-44
1.271856250000000045e+03,1.011181201968087403e-04,4.317094243843005699e-40,4.365528761575365443e-44
1.271875000000000000e+03,1.004119049194824713e-04,4.706037731789586064e-40,4.725599892342950082e-44
1.271893749999999955e+03,9.969973848230221443e-05,5.129798906115404115e-40,5.114588486003423365e-44
1.271912499999999909e+03,9.898174680893639412e-05,5.591474366981920968e-40,5.534747197570706527e-44
1.271931250000000091e+03,9.825805705514746515e-05,6.094434300452276351e-40,5.988497997315023088e-44
1.271950000000000045e+03,9.752879759434178789e-05,6.642346487602199601e-40,6.478444356569970853e-44
1.271968750000000000e+03,9.679409800400085170e-05,7.239202406110218789e-40,7.007384263606587946e-44
1.271987499999999955e+03,9.605408904855067731e-05,7.889345605590764747e-40,7.578324121920195044e-44
1.272006249999999909e+03,9.530890266504859988e-05,8.597502553230873239e-40,8.194493586682680747e-44
1.272025000000000091e+03,9.455867195135226515e-05,9.368816163385812508e-40,8.859361398132767059e-44
