structure,pump_intensity_fwhm_nm,purity
erf_initial,2.5700000000000003,0.9763237103638701
erf_initial,2.58,0.9766528957461513
erf_initial,2.59,0.9769662710226183
erf_initial,2.6,0.9772639952595178
erf_initial,2.6100000000000003,0.9775462265828254
erf_initial,2.62,0.977813122171599
erf_initial,2.63,0.9780648382517305
erf_initial,2.64,0.9783015300900059
erf_initial,2.6500000000000004,0.9785233519885426
erf_initial,2.66,0.9787304572795558
erf_initial,2.67,0.9789229983204663
erf_initial,2.68,0.9791011264893243
erf_initial,2.6900000000000004,0.9792649921805607
erf_initial,2.7,0.979414744801041
erf_initial,2.71,0.979550532766455
erf_initial,2.72,0.9796725034979581
erf_initial,2.7300000000000004,0.9797808034191546
erf_initial,2.74,0.9798755779533391
erf_initial,2.75,0.9799569715210212
erf_initial,2.7600000000000002,0.9800251275377418
erf_initial,2.7700000000000005,0.9800801884121347
erf_initial,2.7800000000000002,0.9801222955442701
erf_initial,2.79,0.9801515893242355
erf_initial,2.8000000000000003,0.9801682091309782
erf_initial,2.8100000000000005,0.9801722933313946
erf_initial,2.8200000000000003,0.9801639792796439
erf_initial,2.83,0.9801434033167007
erf_initial,2.8400000000000003,0.9801107007701398
erf_initial,2.8500000000000005,0.9800660059541305
erf_initial,2.8600000000000003,0.9800094521696489
erf_initial,2.87,0.9799411717049079
erf_initial,2.8800000000000003,0.9798612958359709
erf_initial,2.8900000000000006,0.9797699548275929
erf_initial,2.9000000000000004,0.9796672779342234
erf_initial,2.91,0.9795533934012146
erf_initial,2.9200000000000004,0.9794284284662182
erf_initial,2.9300000000000006,0.9792925093607346
erf_initial,2.9400000000000004,0.9791457613118613
erf_initial,2.95,0.9789883085441898
erf_initial,2.9600000000000004,0.9788202742818749
erf_initial,2.9700000000000006,0.9786417807508585
erf_initial,2.9800000000000004,0.9784529491812458
erf_initial,2.99,0.9782538998098262
erf_initial,3.0000000000000004,0.9780447518827462
erf_initial,3.0100000000000007,0.9778256236583154
erf_initial,3.0200000000000005,0.9775966324099471
erf_initial,3.0300000000000002,0.9773578944292299
erf_initial,3.0400000000000005,0.977109525029129
erf_initial,3.0500000000000007,0.9768516385473069
erf_initial,3.0600000000000005,0.9765843483495549
erf_initial,3.0700000000000003,0.9763077668333546
erf_initial,3.0800000000000005,0.9760220054315257
erf_initial,3.0900000000000007,0.9757271746160142
erf_initial,3.1000000000000005,0.9754233839017401
erf_initial,3.1100000000000003,0.9751107418505768
erf_initial,3.1200000000000006,0.9747893560754163
erf_initial,3.130000000000001,0.9744593332443136
erf_initial,3.1400000000000006,0.9741207790847385
erf_initial,3.1500000000000004,0.9737737983878871
erf_initial,3.1600000000000006,0.9734184950131076
erf_initial,3.170000000000001,0.9730549718923673
erf_initial,3.1800000000000006,0.9726833310348167
erf_initial,3.1900000000000004,0.9723036735314241
erf_initial,3.2000000000000006,0.9719160995596612
erf_initial,3.210000000000001,0.9715207083882803
erf_initial,3.2200000000000006,0.9711175983821206
erf_initial,3.2300000000000004,0.9707068670070087
erf_initial,3.2400000000000007,0.9702886108346899
erf_initial,3.250000000000001,0.9698629255478199
erf_initial,3.2600000000000007,0.9694299059450155
erf_initial,3.2700000000000005,0.9689896459459396
erf_initial,3.2800000000000007,0.9685422385964411
erf_initial,3.290000000000001,0.9680877760737439
erf_initial,3.3000000000000007,0.9676263496916526
erf_initial,3.3100000000000005,0.9671580499058304
erf_initial,3.3200000000000007,0.9666829663190792
erf_initial,3.330000000000001,0.9662011876866805
erf_initial,3.3400000000000007,0.9657128019217469
erf_initial,3.3500000000000005,0.9652178961006189
erf_initial,3.3600000000000008,0.9647165564682817
erf_initial,3.370000000000001,0.9642088684437985
erf_initial,3.380000000000001,0.9636949166257875
erf_initial,3.3900000000000006,0.9631747847979011
erf_initial,3.400000000000001,0.9626485559343326
erf_initial,3.410000000000001,0.9621163122053351
erf_initial,3.420000000000001,0.9615781349827719
erf_initial,3.4300000000000006,0.9610341048456528
erf_initial,3.440000000000001,0.9604843015857039
erf_initial,3.450000000000001,0.9599288042129482
erf_initial,3.460000000000001,0.9593676909612778
erf_initial,3.4700000000000006,0.958801039294052
erf_initial,3.480000000000001,0.9582289259096914
erf_initial,3.490000000000001,0.9576514267472747
erf_initial,3.500000000000001,0.9570686169921402
erf_initial,3.5100000000000007,0.9564805710815013
erf_initial,3.520000000000001,0.955887362710035
erf_initial,3.530000000000001,0.9552890648354898
